# time  Id  DTNHost  true/false
845.0000 M253 203 true
845.0000 M250 203 true
845.0000 M255 203 true
845.0000 M256 156 true
845.0000 M150 208 true
845.0000 M145 208 true
845.0000 M148 208 true
845.0000 M149 208 true
845.0000 M151 208 true
845.0000 M155 208 true
845.0000 M253 208 true
845.0000 M251 208 true
845.0000 M257 208 true
845.0000 M254 208 true
845.0000 M248 208 true
845.0000 M148 214 true
845.0000 M153 214 true
845.0000 M155 214 true
845.0000 M251 214 true
845.0000 M256 214 true
845.0000 M254 214 true
845.0000 M248 214 true
845.0000 M249 214 true
845.0000 M147 217 true
845.0000 M153 217 true
845.0000 M251 217 true
845.0000 M248 217 true
848.0000 M252 204 true
848.0000 M250 204 true
848.0000 M146 204 true
848.0000 M255 204 true
848.0000 M154 204 true
850.0000 M151 76 true
850.0000 M157 76 true
850.0000 M146 76 true
850.0000 M147 76 true
850.0000 M157 195 true
850.0000 M156 195 true
850.0000 M151 77 true
850.0000 M147 77 true
900.0000 M265 211 true
900.0000 M263 211 true
900.0000 M258 211 true
900.0000 M266 30 true
900.0000 M264 30 true
900.0000 M165 121 true
900.0000 M162 132 true
900.0000 M159 132 true
900.0000 M156 197 true
900.0000 M162 127 true
900.0000 M159 127 true
900.0000 M264 32 true
900.0000 M166 187 true
900.0000 M265 75 true
900.0000 M157 75 true
900.0000 M160 153 true
900.0000 M165 90 true
900.0000 M263 90 true
900.0000 M160 154 true
900.0000 M261 154 true
900.0000 M260 209 true
900.0000 M258 209 true
900.0000 M265 209 true
900.0000 M264 209 true
900.0000 M263 209 true
900.0000 M166 188 true
900.0000 M162 128 true
900.0000 M159 128 true
900.0000 M259 193 true
900.0000 M165 122 true
900.0000 M162 129 true
900.0000 M159 129 true
900.0000 M259 194 true
900.0000 M266 29 true
900.0000 M157 196 true
900.0000 M156 196 true
900.0000 M261 18 true
900.0000 M166 190 true
900.0000 M161 190 true
900.0000 M166 186 true
900.0000 M163 176 true
900.0000 M166 189 true
900.0000 M161 189 true
900.0000 M164 184 true
900.0000 M261 16 true
900.0000 M266 201 true
900.0000 M264 201 true
900.0000 M263 201 true
900.0000 M262 201 true
900.0000 M261 201 true
900.0000 M157 201 true
900.0000 M166 192 true
900.0000 M262 202 true
900.0000 M261 202 true
900.0000 M265 101 true
900.0000 M162 133 true
900.0000 M260 67 true
900.0000 M261 17 true
900.0000 M165 89 true
900.0000 M258 40 true
900.0000 M164 66 true
900.0000 M260 66 true
900.0000 M166 191 true
900.0000 M265 205 true
900.0000 M264 205 true
900.0000 M263 205 true
900.0000 M260 205 true
900.0000 M258 205 true
900.0000 M164 183 true
900.0000 M262 10 true
900.0000 M264 31 true
900.0000 M262 11 true
900.0000 M162 131 true
900.0000 M159 131 true
900.0000 M263 20 true
900.0000 M262 20 true
900.0000 M165 215 true
900.0000 M265 102 true
900.0000 M162 126 true
900.0000 M156 126 true
900.0000 M159 126 true
900.0000 M161 64 true
905.0000 M161 206 true
905.0000 M157 206 true
905.0000 M268 219 true
905.0000 M267 219 true
905.0000 M266 219 true
905.0000 M161 219 true
905.0000 M261 219 true
905.0000 M157 219 true
905.0000 M158 219 true
905.0000 M156 219 true
905.0000 M167 219 true
905.0000 M163 219 true
905.0000 M164 219 true
905.0000 M259 219 true
905.0000 M167 157 true
905.0000 M158 157 true
905.0000 M165 120 true
905.0000 M259 174 true
905.0000 M167 180 true
905.0000 M260 65 true
905.0000 M161 65 true
905.0000 M164 65 true
905.0000 M266 175 true
905.0000 M158 175 true
905.0000 M163 175 true
905.0000 M259 175 true
905.0000 M162 134 true
905.0000 M161 63 true
905.0000 M164 185 true
905.0000 M268 185 true
905.0000 M167 156 true
905.0000 M158 156 true
905.0000 M160 156 true
905.0000 M265 207 true
905.0000 M161 207 true
905.0000 M263 207 true
905.0000 M157 207 true
905.0000 M260 207 true
905.0000 M164 207 true
905.0000 M258 207 true
905.0000 M267 214 true
905.0000 M261 214 true
905.0000 M158 214 true
905.0000 M156 214 true
905.0000 M167 214 true
905.0000 M163 214 true
905.0000 M165 214 true
905.0000 M163 125 true
905.0000 M156 125 true
905.0000 M159 125 true
905.0000 M268 9 true
905.0000 M267 15 true
905.0000 M261 15 true
905.0000 M265 210 true
905.0000 M263 210 true
905.0000 M165 210 true
905.0000 M258 210 true
905.0000 M258 95 true
905.0000 M165 213 true
905.0000 M265 208 true
905.0000 M263 208 true
905.0000 M260 208 true
905.0000 M165 208 true
905.0000 M258 208 true
905.0000 M267 155 true
905.0000 M160 155 true
905.0000 M261 155 true
905.0000 M167 155 true
905.0000 M158 155 true
